Time [s],Channel 0,Channel 1
0.431377080,0,0
0.431377920,1,1
0.431582760,1,0
0.431583120,0,0
0.431584600,1,1
0.431790040,1,0
0.431790360,0,0
0.431791280,1,1
0.431996520,1,0
0.431996840,0,0
0.431997920,1,1
0.432046920,1,0
0.432047080,0,0
0.432054320,1,1
0.432058160,1,0
0.432058240,0,0
0.432159680,1,0
0.432162360,1,1
0.432254000,1,0
0.432254200,0,0
0.432261520,1,1
0.432265120,1,0
0.432265200,0,0
0.432358600,1,0
0.432363520,1,1
0.432460600,1,0
0.432460760,0,0
0.432468160,1,1
0.432471560,1,0
0.432471680,0,0
0.432585320,1,0
0.432591320,1,1
0.432667360,1,0
0.432667560,0,0
0.432674920,1,1
0.432678320,1,0
0.432678400,0,0
0.432799680,1,0
0.432809800,1,1
0.432877640,1,0
0.432877880,0,0
0.432885720,1,0
0.432885760,1,1
0.432888360,1,0
0.432888440,0,0
0.432937200,1,0
0.432939640,0,0
0.432941600,1,0
0.432942320,1,1
0.433087000,1,0
0.433087240,0,0
0.433094880,1,0
0.433094920,1,1
0.433097720,1,0
0.433097800,0,0
0.433150920,1,0
0.433154960,0,0
0.433158080,1,0
0.433160640,1,1
0.433293840,1,0
0.433294040,0,0
0.433301680,1,0
0.433301720,1,1
0.433304640,1,0
0.433304800,0,0
0.433358360,1,0
0.433360960,0,0
0.433366760,1,0
0.433367760,1,1
0.433370560,1,0
0.433371840,1,1
0.433499280,1,0
0.433499520,0,0
0.433507640,1,0
0.433507680,1,1
0.433509920,1,0
0.433510000,0,0
0.433574400,1,0
0.433579600,1,1
0.435358160,1,0
0.435358360,0,0
0.435366240,1,1
0.435369480,1,0
0.435369560,0,0
0.435511200,1,1
0.435562840,1,0
0.435563040,0,0
0.435570680,1,1
0.435573440,1,0
0.435573520,0,0
0.435717840,0,1
0.435717880,1,1
0.435773720,1,0
0.435773880,0,0
0.435781320,1,0
0.435781360,1,1
0.435785280,1,0
0.435785320,0,0
0.435924520,1,1
0.435951920,1,0
0.435952480,1,1
0.435981840,1,0
0.435982000,0,0
0.435989480,1,1
0.435992920,1,0
0.435993000,0,0
0.436131160,0,1
0.436131200,1,1
0.436520240,1,0
0.436520280,0,0
0.436521520,1,0
0.436521560,1,1
0.436726920,1,0
0.436727000,0,0
0.436728480,1,0
0.436728520,1,1
0.436985040,1,0
0.436985080,0,0
0.436987000,1,1
0.437017640,1,0
0.437017800,0,0
0.437025720,1,1
0.437028840,1,0
0.437028920,0,0
0.437164520,1,1
0.437191720,1,0
0.437191800,0,0
0.437193560,1,1
0.437224840,1,0
0.437224960,0,0
0.437232880,1,1
0.437236040,1,0
0.437236080,0,0
0.437371160,1,1
0.437398360,1,0
0.437398440,0,0
0.437400280,0,1
0.437400320,1,1
0.437431800,1,0
0.437431880,0,0
0.437439760,1,1
0.437442880,1,0
0.437442960,0,0
0.437577840,1,1
0.437605040,1,0
0.437605120,0,0
0.437606960,1,1
0.437638520,1,0
0.437638640,0,0
0.437646400,1,0
0.437646480,1,1
0.437649320,1,0
0.437649400,0,0
0.437784480,1,1
0.437811680,1,0
0.437811760,0,0
0.437813600,0,1
0.437813640,1,1
0.437845160,1,0
0.437845280,0,0
0.437852800,1,1
0.437855680,1,0
0.437855760,0,0
0.437991160,1,1
0.438018320,1,0
0.438018440,0,0
0.438020240,1,1
0.438050320,1,0
0.438050400,0,0
0.438058080,1,1
0.438060680,1,0
0.438060760,0,0
0.438197800,1,1
0.438225160,1,0
0.438225960,1,1
0.438251280,1,0
0.438251480,0,0
0.438258840,1,1
0.438262360,1,0
